sentence,poss,pr_labels,label
come back with their head,VBN RB IN PRP$ NN,aap_am h,ad
raise your hand and turn around,VB PRP$ NN CC NN RP,ad aa,ad
do your chore,VB PRP$ NNS,h ^h,ad
heat the house so you do not freeze,NN DT NN IN PRP VBP RB VB,aa h,ad
be careful about what you say,VB JJ IN WP PRP VBP,sd sv,ad
save the child,VB DT NNS,qy sd,ad
do not go anywhere,VB RB VB RB,ba ^h,ad
aristotle eleveate the matter,JJ VBP DT NN,aap_am ba,ad
compose your atom with proton and neutron,VB PRP$ NNS IN NNS CC NNS,h sd,ad
keep reading,VB NN,ad ^h,ad
run forest run,VB JJS NN,^h ba,ad
find me an expert in ruby,VB PRP DT NN IN NN,ba sv,ad
find me an expert in python,VB PRP DT NN IN NN,sd qw,ad
buy me some ti ame,VB PRP DT NN NN,aap_am sv,ad
find a python developer,VB DT NN NN,h qw,ad
search for a scala developer,NN IN DT NN NN,ad ^h,ad
spy on all developer,NN IN DT NNS,qw sd,ad
blind everyone with your smile,IN NN IN PRP$ NN,qw aa,ad
cremate me when i die,VB PRP WRB NN VBP,h qw,ad
wear your coat,IN PRP$ NN,ad sd,ad
work on your own,NN IN PRP$ JJ,^h sd,ad
give me an easter egg,VB PRP DT NN NN,h qw,ad
save the date,VB DT NN,sv aa,ad
write a blog post on sentence type classification,VB DT NN NN IN NN NN NN,h sv,ad
reboot the computer,NN DT NN,aap_am ba,ad
reboot the router,NN DT NN,^h qw,ad
reboot the laptop,NN DT NN,ad ^h,ad
come over after your shift,VBN IN IN PRP$ NN,sv qy,ad
reboot the phone,VB DT NN,aap_am qy,ad
turn off airplane mode,VB RP NN NN,qy qw,ad
turn on the microphone,NN IN DT NN,aap_am aa,ad
turn on airplane mode,NN IN NN NN,aa qy,ad
turn on bluetooth,NN IN NN,^h qw,ad
turn off bluetooth,VB RP DT,^h aap_am,ad
create a new account when if you are hacked,VB DT JJ NN WRB IN PRP VBP VBN,aa ad,ad
turn on wifi,NN IN NN,ba aap_am,ad
watch the fire burn out,VB DT NN NN RP,aa qy,ad
turn off the wifi,VB RP DT NN,h aap_am,ad
create value or leave,NN NN CC VB,ad qw,ad
walk the line,VB DT NN,aap_am qw,ad
breathe in the smoke,NN IN DT NN,^h aap_am,ad
pick the nicest thing you can think of,VB DT JJS NN PRP MD VB IN,sd qy,ad
walk back to chicago,NN RB TO VB,ba sv,ad
wake up in the morning,VB RP IN DT NN,aa sv,ad
do not choke,VB RB VB,sd aa,ad
say i love you,VB NNS VBP PRP,ba qw,ad
love me too,VB PRP RB,h ad,ad
jump on the count of three,NN IN DT NN IN CD,h ad,ad
save the dog if you can,VB DT NN IN PRP MD,ba qy,ad
bury your dog under the tree,VB PRP$ NN IN DT NN,sv qy,ad
add all the file tomorrow,VB PDT DT NNS NN,qw qy,ad
do not run from a fight,VB RB VB IN DT NN,aa ad,ad
add your comment to the document,VB PRP$ NNS TO DT NN,aap_am ^h,ad
edit the document adding our comment,NN DT NN VBG PRP$ NNS,ad aap_am,ad
chop the carrot,VB DT NNS,sv aap_am,ad
join all the comment together,NN PDT DT NNS RB,ba h,ad
come into my home,VBN IN PRP$ NN,qy aap_am,ad
get up stand up stand up for your right,VB RP VB RP VB RP IN PRP$ NNS,aap_am aa,ad
get up stand up do not give up the fight,VB RP VB RP VB RB VB RP DT NN,ba aap_am,ad
join the war effort,VB DT NN NN,h aa,ad
mix flour and water,VB NNS CC NNS,sd h,ad
break the egg,VB DT NNS,aa sd,ad
cook the egg,VB DT NNS,qw ^h,ad
whisper when you tell me that,NN WRB PRP VBP PRP IN,qy sv,ad
eat the egg,VB DT NNS,h qy,ad
check the current value before purchasing,VB DT JJ NN IN VBG,aap_am aa,ad
skip what you can,VB WP PRP MD,aap_am ad,ad
save what you will,VB WP PRP MD,sd sv,ad
save all the data,VB PDT DT NNS,sd h,ad
swing the golf club harder next ti ame,VBG DT NN NN NN JJ NN NN,qy aa,ad
request data,NN NNS,h sd,ad
request what you can,VB WP PRP MD,aap_am h,ad
bury the body out back,NN DT NNS RP RB,aa aap_am,ad
skip annoying song,NN VBG NNS,h qy,ad
select a winner then rank order the loser,VB DT NN RB VBD NN DT NNS,qy ad,ad
raise your hand before you ask a question,VB PRP$ NN IN PRP VBP DT NN,ba aa,ad
unmute the device,IN DT NN,aap_am ba,ad
do what you need to do to survive,VB WP PRP VBP TO VB TO VB,^h sd,ad
set phasers to kill,NN NNS TO VB,qw sv,ad
speak to me with a british accent,NN TO PRP IN DT JJ NN,ba ^h,ad
mute the chat,VB DT NN,ad sd,ad
show me the money,VB PRP DT NN,aap_am qy,ad
fill up my gas tank before you come home,VB RP PRP$ NN NN IN PRP VBP NN,sd sv,ad
slice the steak into small piece,NN DT NN IN JJ NNS,^h qw,ad
open the app,VB DT NN,sd aap_am,ad
show me movie ti ames,VB PRP NN NN NNS,sd h,ad
show me the trailer,VB PRP DT NN,^h aap_am,ad
ignore other command,RB JJ NNS,sv aa,ad
increase the volume,VB DT NN,qy qw,ad
decrease the volume,VB DT NN,sd qw,ad
buy a thankpad it is amazing,VB DT NN PRP VBZ VBG,h aap_am,ad
show mercy to the captive,NN NN TO DT NNS,qy ^h,ad
do not do what you should not do,VB RB VB WP PRP MD RB VB,ba ad,ad
do not do what you shouldnt do,VB RB VB WP PRP VBP VB,ad aa,ad
show me the tv gui woulde,VB PRP DT NN NN NN,h aap_am,ad
set the ti amer for me,VB DT NN NN IN PRP,qy aap_am,ad
do not listen to a word i say,VB RB VB TO DT NN NN VBP,aa sd,ad
cancel the pizza ti amer,VB DT NN NN NN,ba h,ad
stop giving me the creep,NN VBG PRP DT NNS,sv ^h,ad
please end the call,VB VB DT NN,ba aap_am,ad
tell everyone goodnight i will see everyone early tomorrow,VB NN NN NN MD VB NN JJ NN,ba ^h,ad
tell everyone goodnight ill see everyone early tomorrow,VB NN NN VB VB NN JJ NN,aa ad,ad
help me help me,VB PRP VB PRP,aa sd,ad
somebody help me,NN VB PRP,^h ad,ad
save me from alexa,VB PRP IN NN,qw qy,ad
send message to google from alexa,JJ NN TO VB IN NN,aa ^h,ad
please do not take the train tonight,VB VB RB VB DT NN NN,aa sd,ad
order the bag of fertilzer,NN DT NNS IN NN,^h aap_am,ad
buy the bag of seed,VB DT NN IN NN,h qy,ad
fetch the hardest stick you can find,VB DT JJS NN PRP MD VB,sd ^h,ad
irrigate the field for me,VB DT NNS IN PRP,aap_am qy,ad
tell the truth,VB DT NN,ad ^h,ad
plow the lawn if you have ti ame,IN DT NN IN PRP VBP VBN NN,ba qw,ad
sing a song if you know any,VBG DT NN IN PRP VBP DT,h aa,ad
hum to the next song you hear,NN TO DT JJ NN PRP VBP,aa h,ad
update my calendar with the last meeting discussion,JJ PRP$ NN IN DT JJ NN NN,aap_am h,ad
please check the oven in five minute,VB VB DT NN IN CD NNS,qy qw,ad
drive away without saying goodbye,VB RP IN VBG NN,h aap_am,ad
tell me the truth,VB PRP DT NN,qw ba,ad
serve your guest some good food else they wont come back,VB PRP$ NNS DT JJ NN RB PRP VBP VB RB,sd sv,ad
remember to wash your sheet,VB TO VB PRP$ NNS,aa h,ad
open the door for me,VB DT NN IN PRP,aap_am qy,ad
open up the fri wouldge,VB RP DT NN NN,sv qy,ad
unlock my phone,JJ PRP$ NN,sd aa,ad
come to my house when you can,NN TO PRP$ NN WRB PRP MD,ad sd,ad
come play super smash with me,VBN NN JJ NN IN PRP,ba qw,ad
take me back to switzerland,VB PRP RB TO VB,^h sd,ad
take me to my bedroom,VB PRP TO PRP$ NN,sd h,ad
make me some swiss fondue for dinner,VB PRP DT JJ NN IN NN,^h aap_am,ad
bake me a cake now,VB PRP DT NN RB,sd aap_am,ad
come to my party,NN TO PRP$ NN,^h h,ad
do not eat too much,VB RB VB RB JJ,qw aa,ad
go straight ahead then turn left,VB RB RB RB VB RP,ba qw,ad
wake up now,VB RP RB,h sv,ad
do not panic,VB RB VB,sv aap_am,ad
get the flag quickly,VB DT NN RB,ad sd,ad
keep off the grass,VB RP DT NN,aa qw,ad
park your car here,VB PRP$ NN RB,qw sv,ad
remove your shoe,VB PRP$ NNS,h ad,ad
post those letter,NN DT NNS,aap_am sv,ad
pay attention,NN NN,h ba,ad
take an asprin,VB DT NN,qy aa,ad
do not let your dad know,VB RB VB PRP$ NNS VBP,sd sv,ad
do not let your mom know,VB RB VB PRP$ NN VBP,ba qw,ad
let it bleed,VB PRP VB,ba aa,ad
let it hurt,VB PRP VB,ad sv,ad
let it heal,VB PRP VB,^h qy,ad
read the text aloud,VB DT NN NN,aa h,ad
stand up when you are on the ground,VB RP WRB PRP VBP IN DT NN,ba qy,ad
drink a beer with me,VB DT NN IN PRP,sd aap_am,ad
come please,VB NN,ba aap_am,ad
do not eat so much,VB RB VB RB JJ,aap_am qy,ad
believe me,VB PRP,aa ba,ad
dont stop me now,NN VB PRP RB,ad h,ad
eat your veggie ,VB PRP$ NNS VBP,qw aap_am,ad
stop and go,NN CC VB,ad h,ad
dont touch me,NN VB PRP,h ad,ad
buy a dog,VB DT NN,qy h,ad
pas through the intersection and take a right in 2 mile,NN IN DT NN CC VB DT NN IN CD NNS,ad h,ad
change your clothes after playing outside,VB PRP$ NNS IN VBG JJ,h ad,ad
play ball,NN NN,aap_am h,ad
give me a few week i will get back to you when i have time,VB PRP DT JJ NNS VBP MD VB RB TO PRP WRB NNS VBP NN,aa ba,ad
be nice,VB JJ,ad ba,ad
believe me ,VB PRP VB,qy h,ad
i would be grateful if you did not tell anyone about this,NN MD VB JJ IN PRP VBD RB VB NN IN DT,qy aap_am,ad
save ferris,VB NN,sv qy,ad
get out,VB RP,sv h,ad
just do it,RB VB PRP,sv ^h,ad
buy one and save 50% on your next purchase,VB CD CC VB CD IN PRP$ JJ NN,h aa,ad
do not eat my grape ,VB RB VB PRP$ NNS VBP,^h aa,ad
remember to wash under your armpit,VB TO VB IN PRP$ NNS,aap_am ba,ad
consider the red dress,VB DT JJ NN,aa aap_am,ad
watch the video and report back,VB DT NNS CC NN RB,ad ^h,ad
dont take thing too seriously,NNS VBP NNS RB RB,sv qw,ad
be careful,VB JJ,ba sv,ad
let take a walk on the wild side,NNS VBP DT NN IN DT JJ NN,ad sv,ad
silence,NN,sv qy,ad
dream big,NN JJ,qw sd,ad
dont text me,NN IN PRP,h qy,ad
do not beat him,VB RB VB PRP,qw ^h,ad
do not kill,VB RB VB,sv h,ad
do not waste your time,VB RB VB PRP$ NN,ba ^h,ad
go to the edge of the cliff,VB TO DT NN IN DT NN,qw h,ad
jump off build your own wing on the way down,NN RP VB PRP$ JJ NNS IN DT NN RP,qy ad,ad
stand up,VB RP,aa qy,ad
please tidy up your room,NN VB RP PRP$ NN,ba ad,ad
dont steal the cooky from the cookie jar,NN VB DT NNS IN DT NN NN,aa qw,ad
pay me,VB PRP,aa ad,ad
run fast,VB RB,qy sv,ad
come and celebrate the festivies before the night of the dance with me,NN CC VB DT NNS IN DT NN IN DT NN IN PRP,h ad,ad
dont forget me,NN VB PRP,aa sd,ad
relax,NN,sd ad,ad
dont look back,NN NN RB,ba qw,ad
hurry,NN,qy aap_am,ad
hurry up,NN RP,qy aap_am,ad
help me,VB PRP,qw ^h,ad
try again next time,VB RB JJ NN,aa qy,ad
turn around in 300 meter,NN RP IN CD NNS,qy qw,ad
play the song alive by ima robot,VB DT NN JJ IN JJ NN,sd qy,ad
stay alive and avoid zombie,NN JJ CC JJ NNS,qy sd,ad
always remember the person who ha been nice to you ,RB VB DT NN WP VBZ VBN JJ TO PRP VB,ad sv,ad
promise me,VB PRP,aap_am sv,ad
stop,NN,^h sv,ad
raid the berber people,VB DT NN NNS,aap_am qw,ad
halt,NN,ba qy,ad
set the temperature 1 degree higher,VB DT NN CD NN JJR,qw ba,ad
meet me outside the venue,VB PRP IN DT NN,ad ^h,ad
enjoy life,JJ NN,sv ba,ad
skip song,NN NN,^h aa,ad
look away,VB RP,h ba,ad
do not work alone on the assignment,VB RB VB RB IN DT NN,sd ad,ad
consider the lily,VB DT NN,h qy,ad
do not tease him,VB RB VB PRP,qw qy,ad
set the temperature to 80,VB DT NN TO CD,sd qw,ad
swing wide,VBG JJ,qw aap_am,ad
work hard,NN RB,qw ba,ad
continue to work with the faith that unearned suffering is redemptive,NN TO VB IN DT NN WDT VBD NN VBZ JJ,ba aap_am,ad
run faster,NN RBR,aa h,ad
be there at 4am,VB EX IN CD,aap_am sv,ad
call me after 10am,VB PRP IN CD,ba qw,ad
tell her you did not do it,VB PRP$ PRP VBD RB VB PRP,sd qy,ad
turn right in 500 foot,NN NN IN CD NNS,ba qy,ad
stop that,NN IN,aap_am qy,ad
get lost,NN VBD,^h qw,ad
keep an eye on the time,VB DT NN IN DT NN,qy aa,ad
stay ahead,NN RB,ba qw,ad
do not u-turn,VB RB VB,sv aa,ad
turn right in 200 foot,NN NN IN CD NNS,sv qw,ad
crouch under the wall then slide under,JJ IN DT NN RB VB IN,aap_am aa,ad
remind me in 10 day to email austin,VB PRP IN CD NNS TO VB NN,h aap_am,ad
go,VB,sd aa,ad
walk for the minimum,NN IN DT NN,sv h,ad
clean the sidewalk,VB DT NN,aap_am qy,ad
please go and meet me at the middle of the dance floor after you perform your song,NN VB CC VB PRP IN DT NN IN DT NN NN IN PRP VBP PRP$ NN,h ad,ad
come around and see me some time,VBN IN CC VB PRP DT NN,h sv,ad
get to bed on time,VB TO VB IN NN,h qy,ad
work fast,NN RB,ad qw,ad
sleep well,RB RB,aa sd,ad
take a taxi,VB DT NN,sd ba,ad
find the lost treasure ,VB DT JJ NN NN,qw aap_am,ad
go back to south carolina go back to georgia ,VB RB TO VB NN VB RB TO VB NN,h sv,ad
clap,NN,h ba,ad
run,VB,^h ba,ad
please tidy your room,VB VB PRP$ NN,ad aa,ad
let is eat,NN VBZ VB,h ba,ad
find document from june 1st on,NN NNS IN NN CD IN,ba sd,ad
improve yourself or kiss yourself goodbye,VB PRP CC VB PRP VB,sv h,ad
shut up brain or i will stab you with a q-tip,VBN RP NN CC NN MD VB PRP IN DT JJ,^h qy,ad
complete the model validation,VB DT NN NN,qy sd,ad
please clap,NN NN,sv sd,ad
oh behave,NNS VBP,aa h,ad
find document from may 2017,NN NNS IN MD VB,qw sv,ad
sit closer,NN NN,ad ba,ad
suprise me,VB PRP,h qy,ad
write an email to kim saying this is not a test of the emergency broadcast system,VB DT NN TO VB VBG DT VBZ RB DT NN IN DT NN NN NN,aap_am ^h,ad
let him cool down then ask about the incident,VB PRP VB RP RB VB IN DT NN,qw sd,ad
paint a big wide smile,NN DT JJ JJ NN,sd ad,ad
let me go,VB PRP VB,aap_am sd,ad
preheat the oven to 325,NN DT NN TO CD,aa sd,ad
launch edge,NN NN,ba aap_am,ad
dont talk,NN NN,aa sv,ad
tell me a holidy limerick,VB PRP DT NN NN,ad ba,ad
buy me some time,VB PRP DT NN,sv qw,ad
launch ie6,NN NN,sv aap_am,ad
create a new account if you are hacked,VB DT JJ NN IN PRP VBP VBN,aap_am h,ad
shout loud,NN NN,h qw,ad
roll over,NN IN,ad qy,ad
beam u up,NN PRP RP,aap_am ad,ad
swing the golf club harder next time,VBG DT NN NN RBR JJ NN,sd aap_am,ad
unmute,NN,aa qy,ad
shut up,VBN RP,^h qy,ad
louder,NN,sv qw,ad
softer,NN,ba sd,ad
mute,NN,aap_am ad,ad
show me movie time,VB PRP NN NNS,sv qw,ad
add the item to the shopping list,VB DT NNS TO DT NN NN,ad sv,ad
show me the tv guide,VB PRP DT NN NN,^h sd,ad
set the timer for me,VB DT NN IN PRP,sv aa,ad
cancel the pizza timer,VB DT NN NN,ad sv,ad
set a repeating alarm for weekday at 9am,VB DT JJ NN IN NNS IN CD,aa qy,ad
end my call,VB PRP$ NN,ad ^h,ad
call jenny,NN NN,h aap_am,ad
plow the lawn if you have time,IN DT NN IN PRP VBP NN,qy qw,ad
open up the fridge,VB RP DT NN,qw sd,ad
let u go,VB PRP VB,qy sd,ad
let is do it,NN VBZ VB PRP,^h aa,ad
let it go,VB PRP VB,aap_am ^h,ad
come on,VBN IN,aa qw,ad
get on the plane,VB IN DT NN,qw ^h,ad
please get on the plane,VB VB IN DT NN,aa ad,ad
clean your room,JJ PRP$ NN,h ad,ad
answer the phone,VB DT NN,aa ad,ad
help me carry these box up the stair,VB PRP VB DT NNS RP DT NNS,qw sd,ad
get out of bed,VB IN IN NN,qy h,ad
walk down the street for two block,VB IN DT NN IN CD NNS,h qw,ad
do not smoke,VB RB VB,qw ^h,ad
do not forget to call me after work,VBP RB VB TO VB PRP IN NN,aap_am sd,ad
do not take the highway,VB RB VB DT NN,^h aa,ad
do not park your car on the grass please,VB RB VB PRP$ NN IN DT NN NN,qw qy,ad
do not use too many plastic bag,VB RB VB RB JJ NN NNS,qw ^h,ad
lets go to the park for a picnic,NN VBP TO DT NN IN DT NN,^h h,ad
lets finish this project before lunch,JJ NN DT NN IN NN,qw ^h,ad
lets go to the supermarket,NN VBP TO DT NN,qy ba,ad
lets get married,NN NN VBD,sv ad,ad
lets not have chicken for dinner again,NN RB VB VBN IN NN RB,ad aa,ad
lets not watch television tonight,NN RB VB NN NN,sv aap_am,ad
lets not worry about that,NN RB VB IN DT,ad qw,ad
lets not ask ask angela about her thesis,NN RB VB NN NN IN PRP$ NN,ad ba,ad
lets not play tennis together again,NN RB VB NN RB RB,sd qy,ad
leave it alone,VB PRP RB,sv sd,ad
lets do it,NN VBP PRP,^h sd,ad
follow me,VB PRP,^h aap_am,ad
keep it up,VB PRP RP,sv ba,ad
be quiet,VB JJ,aap_am aa,ad
do not move,VB RB VB,ad aa,ad
do not stand,VB RB VB,ad sd,ad
wait,NN,h ba,ad
hold it,VB PRP,aap_am ^h,ad
fall in,NN IN,aap_am aa,ad
attention,NN,qy ad,ad
rest ,NN NN,aap_am qy,ad
remember to pick up the dry cleaning today,VB TO VB RP DT JJ NN NN,h aap_am,ad
leave the book under my doormat,VB DT NN IN PRP$ NN,ba ^h,ad
you need to put your phone away,PRP VBP TO VB PRP$ NN RB,sd qw,ad
please open with care,VB JJ IN NN,ba sv,ad
ask the teacher about last night’s homework,VB DT NN IN JJ JJ NN,aap_am ^h,ad
call me,VB PRP,ad ba,ad
do not touch the thermostat,VB RB VB DT NN,ad aap_am,ad
never judge someone before knowing their story,RB NN NN IN VBG PRP$ NN,aa ba,ad
stop making that noise,VB NN WDT NN,qy sd,ad
make sure you understand why we do this exercise,VB JJ PRP VBP WRB PRP VBP DT NN,qw sd,ad
please do not spoil the movie,VB VB RB VB DT NN,ad aap_am,ad
turn off the light,VB RP DT NNS,qw ^h,ad
please turn off the light,VB VB RP DT NNS,ba sv,ad
please seat our party near the window,VB VB PRP$ NN IN DT NN,aa ^h,ad
call your sister on friday,VB PRP$ NN IN NN,sd aa,ad
please pas the salt,VB VB DT NN,aap_am ^h,ad
stop cry and do something about it,VB NN CC VB NN IN PRP,qy aap_am,ad
соme here,NN RB,qw h,ad
do not be silly,VB RB VB RB,sv ad,ad
let’s go at once,NN VBP IN RB,sd ba,ad
close the window,RB DT NN,ad aap_am,ad
соmе and see me,NN CC VB PRP,^h aa,ad
pas me the salt,NN PRP DT NN,aap_am sd,ad
and do not you forget it,CC VB RB PRP VBP PRP,ba aa,ad
let him learn it by heart,VB PRP VB PRP IN NN,sd h,ad
go fucking away,VB VBG RB,h aap_am,ad
do not tell about it,VB RB VB IN PRP,aap_am h,ad
do not be late,VB RB VB RB,sd aap_am,ad
give me that,VB PRP IN,ad aa,ad
do it better,VBP PRP RBR,^h aa,ad
follow the rule,VB DT NNS,ba ad,ad
visit school,NN NN,ba ad,ad
turn right for cooky,NN NN IN NNS,aap_am ^h,ad
pull up me there,VB RP PRP EX,sv ba,ad
do not miss this match,VB RB VB DT NN,qw h,ad
mess with him,NN IN PRP,sd ba,ad
do this exercise every day,VB DT NN DT NN,^h aa,ad
pick up your rubbish,VB RP PRP$ NN,ba qy,ad
